"Paper","Experiment","Lab","SubjectGroup","YA_N","OA_N","OA_Age","YA_YearsEducation","OA_YearsEducation","Words","Faces","Pictures","Text","PositiveValence","NeutralValence","NegativeValence","VisualOnly","AuditoryOnly","Audiovisual","Production","IntentionalEncoding","SelfPacedStudy","StudyTimePerItem.Sec","DeepOrientingTask","ShallowOrientingTask","GenerationTask","DividedAttention","NumMemoranda","MultipleStudyOpportunities","InterveningCuedRecall","InterveningFreeRecall","ContinuousRecog","RetentionInterval","NumTestProbes","ConjunctionLures","ComponentLures","SemanticLures","FeaturalLures","UnrelatedLures","ProportionLures","ProportionLures.cen","YA_Discrimination","OA_Discrimination","EffectSize_Discrimination","YA_Criterion","OA_Criterion","EffectSize_Criterion","YA_HR","OA_HR","YA_FAR","OA_FAR"
"Ahmad Fernandes Hockley 2015","Ahmad Fernandes Hockley 2015 Expt 1","Hockley","Ahmad Fernandes Hockley 2015 Expt 1-Only",24,24,78.2,14.33,15.42,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,4,"TRUE","FALSE","FALSE","FALSE",96,FALSE,"FALSE","FALSE","FALSE",1,64,"TRUE","FALSE","FALSE","FALSE",FALSE,0.5,0,1.9085,1.214,-0.6945,-0.0875,-0.2675,0.18,0.8,0.74,0.245,0.38
"Algarabel et al 2009","Algarabel et al 2009 Expt 1","Algarabel","Algarabel et al 2009 Expt 1-Only",16,16,70.38,NA,NA,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,2,"FALSE","FALSE","FALSE","FALSE",60,FALSE,"FALSE","FALSE","FALSE",0.08333,120,"FALSE","FALSE","FALSE","FALSE",TRUE,0.5,0,2.61,2.42,-0.19,0.22,0.25,-0.03,0.85,0.82,0.06,0.07
"Algarabel et al 2009","Algarabel et al 2009 Expt 1","Algarabel","Algarabel et al 2009 Expt 1-Only",16,16,70.38,NA,NA,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,2,"FALSE","FALSE","FALSE","FALSE",60,FALSE,"FALSE","FALSE","FALSE",0.08333,120,"FALSE","FALSE","FALSE","TRUE",FALSE,0.5,0,1.61,1.75,0.14,0.19,0.27,-0.08,0.73,0.7,0.18,0.15
"Anastasi Rhodes 2006","Anastasi Rhodes 2006 Expt 1","Rhodes","Anastasi Rhodes 2006 Expt 1-Only",42,32,65.7,NA,NA,"FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,FALSE,FALSE,7,"FALSE","TRUE","FALSE","FALSE",24,FALSE,"FALSE","FALSE","FALSE",15,48,"FALSE","FALSE","FALSE","FALSE",TRUE,0.5,0,3.13150558270761,1.79791251426173,-1.33359306844588,0.224997757663587,0.276030534935225,-0.0510327772716385,0.91,0.733333333,0.036666667,0.12
"Anderson Jacoby Thomas Balota 2011","Anderson Jacoby Thomas Balota 2011 Expt 1","Jacoby","Anderson Jacoby Thomas Balota 2011 Expt 1-Only",48,32,76.6,13.6,15.1,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,2.5,"FALSE","FALSE","FALSE","FALSE",12,FALSE,"FALSE","FALSE","FALSE",0.08333,24,"FALSE","FALSE","FALSE","FALSE",TRUE,0.5,0,3.03223763679677,3.03056462277602,-0.0016730140207466,0.234567252853784,0.0394912832088411,0.195075969644943,0.9,0.93,0.04,0.06
"Anderson Jacoby Thomas Balota 2011","Anderson Jacoby Thomas Balota 2011 Expt 1","Jacoby","Anderson Jacoby Thomas Balota 2011 Expt 1-Only",48,32,76.6,13.6,15.1,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,2.5,"FALSE","FALSE","FALSE","FALSE",12,FALSE,"FALSE","FALSE","FALSE",0.08333,24,"FALSE","TRUE","FALSE","TRUE",FALSE,0.5,0,2.95984515490649,2.63159968034624,-0.328245474560243,0.0748510171436102,-0.0892717201365111,0.164122737280121,0.92,0.92,0.06,0.11
"Anderson Jacoby Thomas Balota 2011","Anderson Jacoby Thomas Balota 2011 Expt 1","Jacoby","Anderson Jacoby Thomas Balota 2011 Expt 1-Only",48,32,76.6,13.6,15.1,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,2.5,"FALSE","FALSE","FALSE","FALSE",12,FALSE,"FALSE","FALSE","FALSE",0.08333,24,"FALSE","FALSE","FALSE","FALSE",TRUE,0.5,0,1.93281237605704,1.43877813406615,-0.494034241990891,0.15998494101028,0.360930273781881,-0.200945332771601,0.79,0.64,0.13,0.14
"Anderson Jacoby Thomas Balota 2011","Anderson Jacoby Thomas Balota 2011 Expt 1","Jacoby","Anderson Jacoby Thomas Balota 2011 Expt 1-Only",48,32,76.6,13.6,15.1,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,2.5,"FALSE","FALSE","FALSE","FALSE",12,FALSE,"FALSE","FALSE","FALSE",0.08333,24,"FALSE","TRUE","FALSE","FALSE",FALSE,0.5,0,1.79578648671911,1.38926275428946,-0.406523732429652,0.0562720097866399,0.111789869873512,-0.0555178600868722,0.8,0.72,0.17,0.21
"Anderson Jacoby Thomas Balota 2011","Anderson Jacoby Thomas Balota 2011 Expt 2","Jacoby","Anderson Jacoby Thomas Balota 2011 Expt 2-Only",24,24,74.8,13.9,14.7,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,2.5,"FALSE","FALSE","FALSE","FALSE",12,FALSE,"FALSE","FALSE","FALSE",0.08333,24,"FALSE","FALSE","FALSE","FALSE",TRUE,0.5,0,2.51222441767296,2.89552862828707,0.38330421061411,0.21967881934269,0.107009280453318,0.112669538889372,0.85,0.91,0.07,0.06
"Anderson Jacoby Thomas Balota 2011","Anderson Jacoby Thomas Balota 2011 Expt 2","Jacoby","Anderson Jacoby Thomas Balota 2011 Expt 2-Only",24,24,74.8,13.9,14.7,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",FALSE,TRUE,FALSE,2.5,"FALSE","FALSE","FALSE","FALSE",12,FALSE,"FALSE","FALSE","FALSE",0.08333,24,"FALSE","TRUE","FALSE","TRUE",FALSE,0.5,0,2.77124475599027,2.75734259372377,-0.0139021622665014,0.259231248956336,-0.097119731317285,0.356350980273621,0.87,0.93,0.05,0.1
